id,eng_word,pl_word,score
1,since,od,5.75
2,technology,technologia,5.09
3,census,spis ludności,4.19
4,trouble,kłopoty,4.79
5,interpretation,interpretacja,4.22
6,recognized,rozpoznane,4.52
7,everyone,każdy,5.47
8,alaska,Alaska,4.19
9,weak,słaby,4.66
10,cats,koty,4.46
11,wages,płace,4.25
12,physically,fizycznie,4.3
13,closest,najbliższy,4.21
14,edinburgh,Edynburg,4.28
15,evaluate,ocenić,4.01
16,pig,świnia,4.14
17,incorporated,włączone,4.2
18,exposed,odsłonięty,4.51
19,rain,deszcz,4.71
20,ink,atrament,4.07
21,banks,banki,4.69
22,counts,liczy się,4.28
23,testimony,zeznanie,4.17
24,states,stany,5.52
25,stuff,rzeczy,5.14
26,outcomes,wyniki,4.1
27,reporters,reporterzy,4.01
28,campaign,kampania,5.0
29,copper,miedź,4.27
30,regards,pozdrowienia,4.2
31,fill,wypełnić,4.64
32,approach,podejście,4.93
33,necessarily,koniecznie,4.48
34,vote,głosowanie,5.11
35,organisations,organizacje,4.16
36,pure,czysty,4.64
37,programming,programowanie,4.37
38,unexpected,nieoczekiwany,4.23
39,lets,pozwala,4.51
40,federal,federalny,5.13
41,capability,możliwości,4.07
42,looks,wygląd,5.36
43,choosing,wybór,4.26
44,warming,ogrzewanie,4.05
45,ground,teren,5.15
46,answered,odpowiedziano,4.32
47,increase,wzrost,5.08
48,jobs,praca,4.98
49,pricing,ceny,4.04
50,rage,wściekłość,4.11
51,passport,paszport,4.05
52,ash,popiół,4.16
53,laboratory,laboratorium,4.31
54,hiv,hiv,4.17
55,hawaii,Hawaje,4.21
56,babe,laska,4.11
57,choice,wybór,5.08
58,towards,w kierunku,5.06
59,dennis,dennis,4.1
60,letter,litera,4.95
61,panel,panel,4.55
62,medium,medium,4.61
63,estimates,szacunki,4.3
64,having,posiadając,5.59
65,resolution,rozdzielczość,4.59
66,offers,oferty,4.74
67,champions,mistrzowie,4.5
68,participate,uczestniczyć,4.42
69,samsung,Samsung,4.12
70,fly,lecieć,4.75
71,kate,kate,4.34
72,analyst,analiza,4.03
73,disk,dysk,4.01
74,mental,psychiczny,4.83
75,christianity,chrześcijaństwo,4.19
76,set,ustawić,5.59
77,picked,wybrany,4.72
78,sterling,funt szterling,4.13
79,five,pięć,5.45
80,animation,animacja,4.18
81,gold,złoto,5.17
82,evidence,dowód,5.14
83,achievements,osiągnięcia,4.06
84,volume,głośność,4.76
85,particularly,szczególnie,4.96
86,associated,powiązany,4.89
87,thoroughly,dokładnie,4.09
88,borders,granice,4.26
89,damaged,uszkodzony,4.39
90,stretch,rozciąganie,4.35
91,posting,wpis,4.39
92,standards,standardy,4.78
93,flower,kwiat,4.42
94,solve,rozwiązać,4.42
95,consecutive,kolejny,4.18
96,guide,przewodnik,4.75
97,requirements,wymagania,4.64
98,speak,mówić,5.03
99,horn,róg,4.14
100,advice,porady,4.88
101,hop,skok,4.4
102,teachers,nauczyciele,4.74
103,printing,druk,4.28
104,strategies,strategie,4.29
105,adjacent,sąsiedni,4.12
106,sam,Sam,4.64
107,scheduled,zaplanowane,4.45
108,directed,kierowany,4.6
109,log,dziennik,4.37
110,homes,domy,4.69
111,rights,prawa,5.19
112,johnny,johnny,4.35
113,wash,myć,4.46
114,falls,upadki,4.63
115,junior,junior,4.49
116,engaging,zaangażowanie,4.13
117,worldwide,na całym świecie,4.54
118,hour,godzina,5.18
119,impacts,wpływy,4.03
120,tells,mówi,4.78
121,suck,ssać,4.42
122,there,tam,6.31
123,partnership,partnerstwo,4.48
124,regions,regiony,4.53
125,cultural,kulturowy,4.75
126,child,dziecko,5.3
127,actor,aktor,4.65
128,failed,nieudane,4.82
129,sexual,seksualny,4.82
130,days,dni,5.61
131,centre,centrum,4.95
132,experienced,doświadczony,4.63
133,breakfast,śniadanie,4.61
134,spam,spam,4.05
135,semester,semestr,4.03
136,sophisticated,zaawansowany,4.05
137,indigenous,rdzenni,4.16
138,march,marzec,5.26
139,celebrities,gwiazdy,4.08
140,plot,działka,4.58
141,eagle,orzeł,4.13
142,ease,łatwość,4.34
143,poll,ankieta,4.35
144,vessels,statki,4.2
145,sugar,cukier,4.68
146,projects,projekty,4.81
147,becomes,staje się,4.83
148,pen,pióro,4.38
149,adaptation,dostosowanie,4.01
150,anime,anime,4.26
151,nice,ładny,5.37
152,taxi,taksówka,4.19
153,judge,sędzia,4.95
154,victory,zwycięstwo,4.73
155,scientific,naukowe,4.67
156,corporate,korporacyjne,4.64
